ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;20318.486328125;-140.56288146972656;18099.40625;-1.2068800926208496;303.0000305175781;2.2706401348114014;0;1.83984375;27651282;m2;1342908
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_c01.obj;20072.955078125;-98.915283203125;17593.791015625;-3.0253355503082275;121.50009155273438;6.592905044555664;0;2.4892578125;27612875;m2;1108757
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;20334.31640625;-138.9713592529297;18094.44921875;-1.2068780660629272;255.50003051757812;2.270631790161133;0;1.83984375;27651242;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19917.63671875;-136.28421020507812;18103.40625;-1.2068779468536377;280;2.270632028579712;0;1.7099609375;27602758;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19961.115234375;-134.4770965576172;18034.314453125;-1.2068781852722168;194.5;2.2706336975097656;0;1.58984375;27602757;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19848.259765625;-126.21145629882812;18117.4921875;2.5348238945007324;345.5;0.27312901616096497;0;1.509765625;27602931;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19733.751953125;-124.0875473022461;18109.09375;-1.1503260135650635;7.5;3.0701370239257812;0;1.5595703125;27602429;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19802.056640625;-119.11033630371094;18117.53515625;0;68.50003051757812;0;0;1.359375;27602481;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c04.obj;20174.75390625;-130.18080139160156;18198.107421875;2.7380552291870117;202.99993896484375;1.65923273563385;0;1.51953125;27602845;m2;1342907
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19943.67578125;-136.5519561767578;18113.845703125;1.9416972398757935;149.50006103515625;2.376744031906128;0;1.1396484375;27602603;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;19950.59765625;-135.36105346679688;18068.64453125;0;357.5;0;0;1.5;27602498;m2;1342908
..\..\world\expansion06\doodads\7xp_kelpbush_c01.obj;20281.140625;-130.38385009765625;17758.40625;-5.907011032104492;279.00006103515625;-12.13003921508789;0;0.7998046875;27651019;m2;1342503
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;20253.95703125;-133.4109649658203;17959.326171875;0;30.07598876953125;0;0;5.4609375;27650923;m2;1334386
..\..\world\expansion06\doodads\7xp_kelpbush_c02.obj;19844.736328125;-123.13919067382812;18039.26953125;0;270;0;0;1.08984375;27602439;m2;1342504
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;19850.484375;-125.57536315917969;18048.3828125;0;103.3709716796875;0;0;5.08203125;27602767;m2;1334379
